O,D,demand
1,635,0.5
1,1106,1.0
1,3221,1.0
1,1722,1.25
1,1561,1.25
1,414,1.25
1,1830,1.25
1,1106,1.875
1,485,2.5
1,2750,2.5
1,889,2.5
1,47,2.5
1,5320,2.5
1,41,2.5
1,1677,2.5
1,8210,2.5
1,2245,2.5
1,58,2.5
1,8671,2.5
1,1848,2.5
1,10198,3.75
1,1106,3.75
1,4832,3.75
1,3846,3.75
1,12500,3.75
1,3463,3.75
1,138,3.75
1,1848,5.0
1,1978,5.0
1,11799,5.0
1,453,5.0
1,1679,5.0
1,207,5.0
1,1210,5.0
1,9866,6.25
1,7123,6.25
1,1316,6.25
1,4826,6.25
1,2339,7.5
1,3419,7.5
1,7520,8.75
1,2516,8.75
1,1848,10.0
2,1848,7.5
2,755,15.0
4,89,1.0
4,10192,1.25
4,268,1.25
4,6557,1.5625
4,485,2.5
4,1041,2.5
4,474,2.5
4,867,2.5
4,1106,2.5
4,5483,2.5
4,7520,2.5
4,7520,2.5
4,12328,2.5
4,125,2.5
4,14542,2.5
4,3225,2.5
4,13439,3.125
4,11739,3.125
4,1106,3.75
4,3492,5.0
4,4832,5.0
4,3636,5.0
4,8210,5.0
4,6543,5.0
4,101,6.25
4,9955,6.25
4,558,6.875
4,4832,7.5
4,7624,8.125
4,3419,10.0
5,2705,5.0
6,483,13.75
6,106,23.75
8,282,1.0
8,683,1.0
8,1561,1.0
8,445,1.25
8,37,1.875
8,59,1.875
8,51,1.875
8,702,1.875
8,319,1.875
8,70,1.875
8,2950,2.5
8,2850,2.5
8,1883,2.5
8,4529,2.5
8,3009,2.5
8,1020,2.5
8,8210,2.5
8,352,2.5
8,730,2.5
8,8829,2.5
8,3283,2.5
8,11739,2.5
8,2985,2.5
8,7164,2.5
8,2516,2.5
8,11739,3.75
8,85,3.75
8,1106,3.75
8,31,3.75
8,9124,3.75
8,1258,3.75
8,8210,3.75
8,8210,3.75
8,9299,3.75
8,7875,5.0
8,944,5.0
8,1323,5.0
8,3636,5.0
8,17,5.0
8,1583,5.0
8,171,5.0
8,7730,5.0
8,4832,5.0
8,2777,5.0
8,7649,5.625
8,8210,6.25
8,682,6.25
8,759,6.25
8,8349,6.25
8,129,6.25
8,7875,6.25
8,9955,6.25
8,514,7.5
8,3636,8.75
8,175,8.75
8,5695,9.5833333325
8,755,10.0
8,2516,10.0
8,257,10.0
8,5787,10.0
8,11739,10.0
8,624,10.0
8,1919,12.5
8,560,12.5
8,1070,12.5
8,7730,13.75
8,4300,15.0
8,8210,18.75
8,54,19.375
8,14489,20.0
11,867,0.83333333325
11,54,2.5
11,106,2.5
11,2705,2.5
11,7977,2.5
11,827,2.5
11,7016,2.5
11,3869,2.5
11,683,2.5
11,22,2.5
11,811,2.5
11,358,2.5
11,628,2.5
11,379,2.5
11,578,2.5
11,66,2.5
11,3636,2.5
11,96,2.5
11,4832,2.5
11,2516,2.5
11,9392,2.5
