6.0, flow sol, [7.50000147 2.49999853 5.00000005 2.50000142 7.49999858]
6.0, flow upperbound, [7.49999837 2.50000163 4.99999904 2.49999933 7.50000067]
5.5, flow sol, [7.50000401 2.49999599 5.00000343 2.50000058 7.49999942]
5.5, flow upperbound, [7.49999837 2.50000163 4.99999904 2.49999933 7.50000067]
5.0, flow sol, [7.49989046 2.50010954 4.99977507 2.5001154  7.4998846 ]
5.0, flow upperbound, [7.49999837 2.50000163 4.99999904 2.49999933 7.50000067]
4.5, flow sol, [7.24991302 2.75008698 4.49982833 2.75008469 7.24991531]
4.5, flow upperbound, [7.49999837 2.50000163 4.5        2.99999837 7.00000163]
4.0, flow sol, [6.9999201  3.0000799  3.99982451 3.00009559 6.99990441]
4.0, flow upperbound, [6.99999837 3.00000163 4.         2.99999837 7.00000163]
3.5, flow sol, [6.75000473 3.24999527 3.5        3.25000473 6.74999527]
3.5, flow upperbound, [6.99999837 3.00000163 3.5        3.49999837 6.50000163]
3.0, flow sol, [6.49999959 3.50000041 3.         3.49999959 6.50000041]
3.0, flow upperbound, [6.49999837 3.50000163 3.         3.49999837 6.50000163]
2.5, flow sol, [6.24999602 3.75000398 2.5        3.74999602 6.25000398]
2.5, flow upperbound, [6.49999837 3.50000163 2.5        3.99999837 6.00000163]
2.0, flow sol, [5.99999996 4.00000004 2.         3.99999996 6.00000004]
2.0, flow upperbound, [5.99999837 4.00000163 2.         3.99999837 6.00000163]
1.5, flow sol, [5.75000223 4.24999777 1.49999999 4.25000224 5.74999776]
1.5, flow upperbound, [5.99999837 4.00000163 1.5        4.49999837 5.50000163]
1.0, flow sol, [5.50000658 4.49999342 0.99999999 4.50000659 5.49999341]
1.0, flow upperbound, [5.49999837 4.50000163 1.         4.49999837 5.50000163]
0.5, flow sol, [5.24999968 4.75000032 0.5        4.74999969 5.25000031]
0.5, flow upperbound, [5.49999837 4.50000163 0.5        4.99999837 5.00000163]
